nomor_masuk,tanggal_masuk,nama_barang,kuantum_masuk,Bulan_masuk,nomor_jual,tanggal_jual,nama_pembeli,kuantum_jual,nominal,Bulan_jual,Hari
1,2020-05-29,GULA,100000,2020-05,393,2020-06-04,HOLIDAY MART,2500,30000000,2020-06,Thursday
1,2020-05-29,GULA,100000,2020-05,395,2020-06-04,TOKO ANUGRAH,2500,30000000,2020-06,Thursday
1,2020-05-29,GULA,100000,2020-05,397,2020-06-04,TOKO BERKAT USAHA,8500,102000000,2020-06,Thursday
1,2020-05-29,GULA,100000,2020-05,398,2020-06-04,TOKO SUPARNO (SMS),10000,120000000,2020-06,Thursday
1,2020-05-29,GULA,100000,2020-05,399,2020-06-04,TOKO APO,10000,120000000,2020-06,Thursday
1,2020-05-29,GULA,100000,2020-05,400,2020-06-04,TOKO SUYONO (BINTANG KAPUAS),8000,96000000,2020-06,Thursday
1,2020-05-29,GULA,100000,2020-05,402,2020-06-04,TOKO NURDIAH ,5000,60000000,2020-06,Thursday
1,2020-05-29,GULA,100000,2020-05,406,2020-06-04,TOKO MUNIR,500,6000000,2020-06,Thursday
1,2020-05-29,GULA,100000,2020-05,408,2020-06-04,TOKO ABANG HERIYANSYAH ,900,10800000,2020-06,Thursday
1,2020-05-29,GULA,100000,2020-05,412,2020-06-04,TOKO KOTABARU,8500,102000000,2020-06,Thursday
1,2020-05-29,GULA,100000,2020-05,414,2020-06-04,SAHABAT ANDA,2550,30600000,2020-06,Thursday
1,2020-05-29,GULA,100000,2020-05,418,2020-06-05,Warung Nak Zihan,5050,60600000,2020-06,Friday
1,2020-05-29,GULA,100000,2020-05,420,2020-06-05,TOKO FAHRI,2000,24000000,2020-06,Friday
1,2020-05-29,GULA,100000,2020-05,422,2020-06-05,TOKO ABIZAR,4750,57000000,2020-06,Friday
1,2020-05-29,GULA,100000,2020-05,424,2020-06-05,TOKO TOPIN,1250,15000000,2020-06,Friday
1,2020-05-29,GULA,100000,2020-05,426,2020-06-05,TOKO SIDAK,950,11400000,2020-06,Friday
1,2020-05-29,GULA,100000,2020-05,428,2020-06-05,TOKO BOB-i,3500,42000000,2020-06,Friday
1,2020-05-29,GULA,100000,2020-05,429,2020-06-05,TOKO ARI YANTO ,1000,12000000,2020-06,Friday
1,2020-05-29,GULA,100000,2020-05,430,2020-06-05,TOKO BERKAT USAHA,9550,114600000,2020-06,Friday
1,2020-05-29,GULA,100000,2020-05,431,2020-06-05,TOKO SUYONO (BINTANG KAPUAS),13000,156000000,2020-06,Friday
1,2020-05-29,GULA,100000,2020-05,432,2020-06-08,TPK PASAR JUNJUNG BUIH,1850,22200000,2020-06,Monday
1,2020-05-29,GULA,100000,2020-05,433,2020-06-08,TOKO SUPARNO (SMS),13000,156000000,2020-06,Monday
1,2020-05-29,GULA,100000,2020-05,434,2020-06-08,TOKO APO,6500,78000000,2020-06,Monday
1,2020-05-29,GULA,100000,2020-05,435,2020-06-09,TOKO JAYA SENTOSA,3500,42000000,2020-06,Tuesday
1,2020-05-29,GULA,100000,2020-05,436,2020-06-09,TOKO AMI,1300,15600000,2020-06,Tuesday
1,2020-05-29,GULA,100000,2020-05,437,2020-06-09,TOKO SYAMSUDIN (INTAN MART),2000,24000000,2020-06,Tuesday
1,2020-05-29,GULA,100000,2020-05,438,2020-06-09,TOKO M. DJAFARI (AFAR 99),1400,16800000,2020-06,Tuesday
1,2020-05-29,GULA,100000,2020-05,439,2020-06-09,TOKO BAS JAYA,2550,30600000,2020-06,Tuesday
1,2020-05-29,GULA,100000,2020-05,440,2020-06-09,TOKO ALIKA,1450,17400000,2020-06,Tuesday
1,2020-05-29,GULA,100000,2020-05,441,2020-06-09,TOKO ARDO,4300,51600000,2020-06,Tuesday
1,2020-05-29,GULA,100000,2020-05,442,2020-06-09,TOKO MAJU TERUS,2150,25800000,2020-06,Tuesday
1,2020-05-29,GULA,100000,2020-05,443,2020-06-09,TOKO ALIF,1150,13800000,2020-06,Tuesday
1,2020-05-29,GULA,100000,2020-05,444,2020-06-10,TOKO SYUHAINI,2950,35400000,2020-06,Wednesday
1,2020-05-29,GULA,100000,2020-05,447,2020-06-10,TOKO BERKAT USAHA,7450,89400000,2020-06,Wednesday
1,2020-05-29,GULA,100000,2020-05,448,2020-06-10,TOKO APO,10000,120000000,2020-06,Wednesday
1,2020-05-29,GULA,100000,2020-05,449,2020-06-10,TOKO YOGI,1050,12600000,2020-06,Wednesday
1,2020-05-29,GULA,100000,2020-05,452,2020-06-10,TOKO AQIL,6900,82800000,2020-06,Wednesday
1,2020-05-29,GULA,100000,2020-05,453,2020-06-10,TOKO DEB,6500,78000000,2020-06,Wednesday
1,2020-05-29,GULA,100000,2020-05,494,2020-06-22,TOKO SYAMSUDIN (INTAN MART),4000,47200000,2020-06,Monday
1,2020-05-29,GULA,100000,2020-05,495,2020-06-22,TOKO SUPARNO (SMS),5000,59000000,2020-06,Monday
1,2020-05-29,GULA,100000,2020-05,496,2020-06-22,TOKO ALIKA,100,1180000,2020-06,Monday
1,2020-05-29,GULA,100000,2020-05,497,2020-06-22,TOKO M. DJAFARI (AFAR 99),3000,35400000,2020-06,Monday
1,2020-05-29,GULA,100000,2020-05,498,2020-06-22,TOKO SIGID PAMBUDI ,600,7080000,2020-06,Monday
1,2020-05-29,GULA,100000,2020-05,499,2020-06-22,TOKO AQIL,100,1180000,2020-06,Monday
1,2020-05-29,GULA,100000,2020-05,500,2020-06-23,HOLIDAY MART,2500,29500000,2020-06,Tuesday
1,2020-05-29,GULA,100000,2020-05,501,2020-06-23,TOKO ABIZAR,500,5900000,2020-06,Tuesday
1,2020-05-29,GULA,100000,2020-05,508,2020-06-24,TOKO M. DJAFARI (AFAR 99),1150,13570000,2020-06,Wednesday
1,2020-05-29,GULA,100000,2020-05,511,2020-06-26,TOKO DARKUM KOPERASI DISPERINDAG ,2000,23600000,2020-06,Friday
1,2020-05-29,GULA,100000,2020-05,512,2020-06-26,TOKO SYUHAINI,300,3540000,2020-06,Friday
1,2020-05-29,GULA,100000,2020-05,524,2020-07-01,TOKO ARDO,600,7080000,2020-07,Wednesday
1,2020-05-29,GULA,100000,2020-05,528,2020-07-06,TOKO BERKAH DUA PUTRA,50,590000,2020-07,Monday
1,2020-05-29,GULA,100000,2020-05,537,2020-07-08,TOKO SYUHAINI,350,4130000,2020-07,Wednesday
1,2020-05-29,GULA,100000,2020-05,538,2020-07-10,TOKO MAJU TERUS,1900,22420000,2020-07,Friday
1,2020-05-29,GULA,100000,2020-05,542,2020-07-13,TOKO BUNGUR,50,590000,2020-07,Monday
1,2020-05-29,GULA,100000,2020-05,585,2020-07-21,TOKO ARDO,450,5310000,2020-07,Tuesday
1,2020-05-29,GULA,100000,2020-05,610,2020-08-11,TOKO BUNGUR,250,2950000,2020-08,Tuesday
1,2020-05-29,GULA,100000,2020-05,633,2020-08-12,SAHABAT ANDA,200,2360000,2020-08,Wednesday
1,2020-05-29,GULA,100000,2020-05,646,2020-08-19,TOKO RIZKI SAKYAH,150,1770000,2020-08,Wednesday
1,2020-05-29,GULA,100000,2020-05,660,2020-08-27,Warung Nak Zihan,50,590000,2020-08,Thursday
1,2020-05-29,GULA,100000,2020-05,664,2020-08-28,TOKO BUNGUR,50,590000,2020-08,Friday
1,2020-05-29,GULA,100000,2020-05,668,2020-08-31,TOKO ARDO,150,1770000,2020-08,Monday
1,2020-05-29,GULA,100000,2020-05,669,2020-09-07,TOKO MAJU TERUS,300,3540000,2020-09,Monday
1,2020-05-29,GULA,100000,2020-05,756,2020-10-12,ANAPSA,50,590000,2020-10,Monday
1,2020-05-29,GULA,100000,2020-05,770,2020-10-15,TOKO BERKAH DUA PUTRA,50,590000,2020-10,Thursday
1,2020-05-29,GULA,100000,2020-05,819,2020-11-04,TOKO BUNGUR,150,1770000,2020-11,Wednesday
1,2020-05-29,GULA,100000,2020-05,828,2020-11-09,TOKO IRVA,250,2950000,2020-11,Monday
1,2020-05-29,GULA,100000,2020-05,887,2020-11-24,TOKO NURFADILAH ,1512,18144000,2020-11,Tuesday
1,2020-05-29,GULA,100000,2020-05,895,2020-11-27,TOKO ADELA,96,1152000,2020-11,Friday
