nomor,tanggal,nama_pembeli,nama_barang,kuantum,nominal
94,1/30/2020,TOKO BOB-i,DAGING,80,5600000
95,1/30/2020,TOKO BUMDES USAHA JAYA BERSAMA,BERAS,700,6888000
96,1/30/2020,TOKO BUMDES USAHA JAYA BERSAMA,DAGING,100,7000000
97,2/3/2020,TOKO DARKUM KOPERASI DISPERINDAG ,BERAS,500,4920000
98,2/3/2020,TOKO DARKUM KOPERASI DISPERINDAG ,DAGING,40,2800000
99,2/3/2020,TOKO DARKUM KOPERASI DISPERINDAG ,MIGOR,132,1570800
100,2/3/2020,TOKO DARKUM KOPERASI DISPERINDAG ,TEPUNG,40,332000
101,2/3/2020,TPK PASAR JUNJUNG BUIH,BERAS,1000,9840000
102,2/4/2020,RUDIMAS,BERAS,750,7380000
103,2/5/2020,TOKO BUNGUR,BERAS,650,6396000
104,2/5/2020,TOKO BUNGUR,DAGING,60,4200000
105,2/5/2020,TOKO KIAN KIONG ,BERAS,3000,31500000
106,2/5/2020,TOKO KHET MEN ,BERAS,1000,10500000
107,2/5/2020,TOKO YENNI SUSILAWATI ,BERAS,1500,15750000
108,2/5/2020,TOKO ENDANG SUSILAWATI ,BERAS,12000,126000000
109,2/5/2020,TOKO SUKARDI ,BERAS,2500,26250000
110,2/5/2020,TOKO KARDI ,BERAS,2500,26250000
111,2/5/2020,TOKO ISNANI SITI RAFIAH ,BERAS,1000,10500000
112,2/5/2020,TOKO PANISITAWATI HERMINA PAULA ,BERAS,4000,42000000
113,2/5/2020,TOKO DENY WIDODO ,BERAS,4000,42000000
114,2/5/2020,TOKO HERU SUSANTO ,BERAS,6000,63000000
115,2/5/2020,TOKO RUDY ,BERAS,4000,42000000
116,2/6/2020,TOKO BUMDES TERTUNG,BERAS,600,5904000
117,2/6/2020,TOKO BUMDES TERTUNG,DAGING,20,1400000
118,2/6/2020,TOKO FEBRIANTI INDAH LESTARI ,BERAS,2800,29400000
119,2/6/2020,TOKO KARDI ,BERAS,1100,11550000
120,2/6/2020,TOKO KIAN KIONG ,BERAS,1000,10500000
121,2/6/2020,TOKO DIANA RISTA ,BERAS,6000,63000000
122,2/6/2020,TOKO FAKHLI HARUDI ,BERAS,5600,58800000
123,2/7/2020,TOKO ODONG SOBARI ,BERAS,3000,31500000
124,2/7/2020,TOKO CUCUM ,BERAS,1500,15750000
125,2/7/2020,TOKO KHET MEN ,BERAS,1000,10500000
126,2/7/2020,TOKO JESAYA GINTING ,BERAS,10000,105000000
127,2/7/2020,TOKO SRI WAHYUNI ,BERAS,500,5250000
128,2/10/2020,TOKO DEWI AFRITA ,BERAS,5000,52500000
129,2/10/2020,TOKO AANG  DARMAWAN ,BERAS,750,7875000
130,2/10/2020,TOKO DIDIK PRIOJADMIKO ,BERAS,1500,15750000
131,2/10/2020,TOKO ENDANG HARTATI ,BERAS,1500,15750000
132,2/10/2020,TOKO FAKHLI HARUDI ,BERAS,8000,84000000
133,2/11/2020,TOKO RIZKI SAKYAH,BERAS,750,7367250
134,2/11/2020,TOKO RIZKI SAKYAH,DAGING,20,1400000
135,2/11/2020,TOKO RIZKI SAKYAH,MIGOR,60,714000
136,2/11/2020,TOKO RIZKI SAKYAH,TEPUNG,20,166000
137,2/12/2020,TOKO RAHMAD,BERAS,1000,9823000
138,2/12/2020,TOKO RAHMAD,DAGING,20,1400000
139,2/13/2020,TOKO SUKA SUKA,BERAS,800,7858400
140,2/14/2020,TOKO YOGI,BERAS,850,8349550
141,2/17/2020,TOKO IRVA,BERAS,850,8349550
142,2/17/2020,TOKO IRVA,DAGING,20,1400000
143,2/18/2020,Ummi,BERAS,750,7367250
144,2/19/2020,TOKO TOPIN,BERAS,850,8349550
145,2/19/2020,TOKO DHEMA,BERAS,750,7367250
146,2/20/2020,TOKO SIGID PAMBUDI ,BERAS,2000,21000000
147,2/20/2020,TOKO SYARBINUS PANGKAS ,BERAS,8000,84000000
148,2/20/2020,TOKO SUKARDI ,BERAS,7300,76650000
149,2/20/2020,TOKO ANDRI SUGIANTO ,BERAS,15000,157500000
150,2/20/2020,TOKO SRI WAHYUNI ,BERAS,1000,10500000
151,2/20/2020,TOKO AGUSTINUS ,BERAS,6400,67200000
152,2/20/2020,TOKO ARI YANTO ,BERAS,3600,37800000
153,2/20/2020,TOKO SAPARNI ,BERAS,4800,50400000
154,2/20/2020,TOKO SIMON SUMARDI ,BERAS,1300,13650000
155,2/20/2020,TOKO EKO BUDI WINASIS ,BERAS,1020,10710000
156,2/20/2020,TOKO HERI HARYANTO ,BERAS,1000,10500000
157,2/20/2020,TOKO EKA SAPUTRA JAYA ,BERAS,5000,52500000
158,2/21/2020,TOKO FEBRIANTI INDAH LESTARI ,BERAS,3500,36750000
159,2/21/2020,TOKO ENDANG SUSILAWATI ,BERAS,18000,189000000
160,2/21/2020,TOKO DEWI AFRITA ,BERAS,5000,52500000
161,2/21/2020,TOKO DIANA RISTA ,BERAS,4000,42000000
162,2/21/2020,TOKO NURFADILAH ,BERAS,5500,57750000
163,2/21/2020,TOKO MARDIUS ,BERAS,2000,21000000
164,2/21/2020,TOKO ANTONIUS ,BERAS,10000,105000000
165,2/25/2020,TOKO BERKAT USAHA,BERAS,700,6876100
166,2/25/2020,TOKO BERKAT USAHA,DAGING,120,8400000
167,2/25/2020,TOKO BERKAT USAHA,MIGOR,108,1285200
168,2/25/2020,TOKO BERKAT USAHA,TEPUNG,80,664000
169,2/25/2020,TOKO SILVIANA ,BERAS,500,4911500
170,2/25/2020,TOKO SILVIANA ,DAGING,80,5600000
171,2/25/2020,TOKO SILVIANA ,MIGOR,84,999600
172,2/25/2020,TOKO SILVIANA ,TEPUNG,40,332000
173,2/25/2020,TOKO KIAN KIONG ,BERAS,4000,42000000
174,2/25/2020,TOKO KHET MEN ,BERAS,1000,10500000
175,2/25/2020,TOKO YENNI SUSILAWATI ,BERAS,1500,15750000
176,2/25/2020,TOKO KARDI ,BERAS,2600,27300000
177,2/25/2020,TOKO SUNDARIANTO ,BERAS,900,9450000
178,2/25/2020,TOKO QOYIM MASYAHARI ,BERAS,500,5250000
179,2/25/2020,TOKO HENI LAY ,BERAS,1000,10500000
180,2/25/2020,TOKO SOFIAN ,BERAS,3000,31500000
181,2/26/2020,TOKO. M. FAHRIZA,BERAS,400,3929200
182,2/26/2020,TOKO. M. FAHRIZA,DAGING,140,9800000
183,2/26/2020,MEKAR SARI,BERAS,600,5893800
184,2/26/2020,MEKAR SARI,DAGING,160,11200000
185,2/26/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,400,4800000
186,2/26/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,160,3680000
187,2/27/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,4,92000
188,2/27/2020,ANAPSA,BERAS,500,4911500
189,2/27/2020,ANAPSA,DAGING,100,7000000
190,2/27/2020,TOKO BU YULI,BERAS,700,6876100
191,2/27/2020,TOKO BU YULI,DAGING,120,8400000
192,2/27/2020,TOKO BU YULI,MIGOR,120,1428000
193,2/27/2020,TOKO BU YULI,TEPUNG,100,830000
194,3/3/2020,TOKO SIDAK,BERAS,100,1030000
195,3/3/2020,TOKO SIDAK,BERAS,850,8340200
196,3/3/2020,TOKO SIDAK,DAGING,40,2800000
197,3/3/2020,TOKO SIDAK,MIGOR,144,1713600
198,3/3/2020,TOKO ANUGRAH,BERAS,240,2448000
199,3/3/2020,TOKO ANUGRAH,BERAS,750,7359000
200,3/4/2020,TOKO CHALLISTA,BERAS,300,3060000
201,3/4/2020,TOKO CHALLISTA,BERAS,350,3434200
202,3/5/2020,TOKO ASSYAKIRIN,BERAS,350,3570000
203,3/5/2020,TOKO ASSYAKIRIN,DAGING,180,12600000
204,3/6/2020,TOKO USAHA ,BERAS,300,2943600
205,3/6/2020,TOKO USAHA ,DAGING,60,4200000
206,3/6/2020,TOKO MAJU TERUS,BERAS,500,4906000
207,3/6/2020,TOKO MAJU TERUS,DAGING,80,5600000
208,3/6/2020,TOKO MAJU TERUS,MIGOR,72,856800
209,3/6/2020,TOKO MAJU TERUS,TEPUNG,40,332000
210,3/6/2020,TOKO FEBRIANTI INDAH LESTARI ,BERAS,2000,21000000
211,3/6/2020,TOKO KHET MEN ,BERAS,1000,10500000
212,3/6/2020,TOKO EKA SAPUTRA JAYA ,BERAS,4000,42000000
213,3/9/2020,TOKO LANSIA,BERAS,150,1530000
214,3/9/2020,TOKO LANSIA,BERAS,650,6377800
215,3/9/2020,TOKO LANSIA,DAGING,20,1400000
216,3/9/2020,TOKO HERUNIAWATI,BERAS,700,6868400
217,3/9/2020,TOKO HERUNIAWATI,DAGING,40,2800000
218,3/10/2020,TOKO ANTONIUS ,BERAS,10000,105000000
219,3/10/2020,TOKO SARDIYANTO ,BERAS,750,7875000
220,3/10/2020,TOKO IDAWATI ,BERAS,510,5355000
221,3/10/2020,TOKO MIKA ERNAWATI ,BERAS,1000,10500000
222,3/10/2020,TOKO FAKHLI HARUDI ,BERAS,8000,84000000
223,3/11/2020,TOKO HERWIN ,BERAS,20460,214830000
224,3/11/2020,TOKO DIANA RISTA ,BERAS,4000,42000000
225,3/11/2020,Warung Nak Zihan,BERAS,900,8830800
226,3/11/2020,Warung Nak Zihan,MIGOR,84,999600
227,3/11/2020,Warung Nak Zihan,TEPUNG,40,332000
228,3/11/2020,TOKO ABANG HERIYANSYAH ,BERAS,700,6868400
229,3/11/2020,TOKO ABANG HERIYANSYAH ,MIGOR,300,3570000
230,3/12/2020,SAHABAT ANDA,BERAS,800,7849600
231,3/12/2020,SAHABAT ANDA,DAGING,20,1400000
232,3/12/2020,SAHABAT ANDA,TEPUNG,140,1162000
233,3/13/2020,TOKO CAH HERU ,BERAS,750,7875000
234,3/13/2020,TOKO ISNANI SITI RAFIAH ,BERAS,1000,10500000
235,3/13/2020,TOKO DIDIK PRIOJADMIKO ,BERAS,4000,42000000
236,3/13/2020,TOKO ANTONIUS ,BERAS,15000,157500000
237,3/13/2020,TOKO HERWIN ,BERAS,10450,109725000
238,3/13/2020,TOKO ARI YANTO ,BERAS,7200,75600000
239,3/13/2020,TOKO AGUSTINUS ,BERAS,4700,49350000
240,3/17/2020,TOKO AQIL,BERAS,900,8840700
241,3/17/2020,TOKO AQIL,DAGING,100,7000000
242,3/17/2020,TOKO AQIL,MIGOR,360,4284000
243,3/17/2020,TOKO SIGID PAMBUDI ,BERAS,600,5893800
244,3/17/2020,TOKO SIGID PAMBUDI ,DAGING,60,4200000
245,3/17/2020,TOKO SIGID PAMBUDI ,MIGOR,432,5140800
246,3/18/2020,TOKO. BUMDES JAYA ,BERAS,700,6876100
247,3/18/2020,TOKO. BUMDES JAYA ,DAGING,120,8400000
248,3/18/2020,TOKO DEB,BERAS,500,4911500
249,3/18/2020,TOKO DEB,DAGING,100,7000000
250,3/19/2020,TOKO ANDRI SUGIANTO ,BERAS,9500,99750000
251,3/19/2020,TOKO SYARBINUS PANGKAS ,BERAS,7700,80850000
252,3/19/2020,TOKO HENI LAY ,BERAS,3000,31500000
253,3/19/2020,TOKO SAPARNI ,BERAS,8800,92400000
254,3/19/2020,TOKO DIANA RISTA ,BERAS,11000,115500000
255,3/20/2020,TOKO FATHULLAH ZIKRI,BERAS,300,3060000
256,3/20/2020,TOKO FATHULLAH ZIKRI,BERAS,600,5893800
257,3/20/2020,TOKO KEDAI YUDA,BERAS,270,2754000
258,3/20/2020,TOKO KEDAI YUDA,BERAS,500,4911500
259,3/23/2020,TOKO FAHRI,BERAS,100,1030000
260,3/23/2020,TOKO FAHRI,BERAS,900,8840700
261,3/23/2020,TOKO FAHRI,DAGING,80,5600000
262,3/23/2020,TOKO KOPERASI KONSUMEN SYARIAH BERKAH BERSEMI,BERAS,150,1545000
263,3/23/2020,TOKO KOPERASI KONSUMEN SYARIAH BERKAH BERSEMI,BERAS,700,6876100
264,3/23/2020,TOKO KOPERASI KONSUMEN SYARIAH BERKAH BERSEMI,DAGING,60,4200000
265,3/23/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,195,2340000
266,3/23/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,78,1794000
267,3/24/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,2,46000
268,3/24/2020,TOKO BUNAWI ,BERAS,500,4911500
269,3/24/2020,TOKO BUNAWI ,MIGOR,504,5997600
270,3/24/2020,TOKO NURFADILAH ,BERAS,55,566500
271,3/24/2020,TOKO NURFADILAH ,BERAS,600,5893800
272,3/24/2020,TOKO NURFADILAH ,MIGOR,504,5997600
273,3/26/2020,Harya Sari,BERAS,600,5893800
274,3/26/2020,Harya Sari,DAGING,60,4200000
275,3/30/2020,TOKO SUPER STOCK,BERAS,650,6384950
276,3/30/2020,TOKO SUPER STOCK,DAGING,60,4200000
277,3/30/2020,TOKO MUNIR,BERAS,750,7367250
278,3/30/2020,TOKO MUNIR,DAGING,80,5600000
279,4/3/2020,TOKO PANISITAWATI HERMINA PAULA ,BERAS,4000,42000000
280,4/3/2020,TOKO MARDIUS ,BERAS,3500,36750000
281,4/6/2020,TOKO DWI SUSILO ,BERAS,2100,22050000
282,4/6/2020,TOKO ASEP SAFRUDIN ,BERAS,1000,10500000
283,4/7/2020,TOKO HERWIN ,BERAS,5440,57120000
284,4/8/2020,TOKO WARUNG SANTI,DAGING,200,14000000
285,4/8/2020,TOKO BUNGUR,DAGING,200,14000000
286,4/9/2020,TOKO KIAN KIONG ,BERAS,930,9765000
287,4/13/2020,TOKO HERWIN ,BERAS,13650,143325000
288,4/13/2020,TOKO AGUSTINUS ,BERAS,5000,52500000
289,4/13/2020,TOKO ARI YANTO ,BERAS,1800,18900000
290,4/14/2020,TOKO HIDAYAH,BERAS,900,8840700
291,4/14/2020,TOKO HIDAYAH,DAGING,200,14000000
292,4/14/2020,TOKO HIDAYAH,MIGOR,120,1482000
293,4/14/2020,TOKO HIDAYAH,TEPUNG,140,1120000
294,4/14/2020,TOKO ABANG HERIYANSYAH ,BERAS,1000,9823000
295,4/14/2020,TOKO ABANG HERIYANSYAH ,DAGING,180,12600000
296,4/14/2020,TOKO ABANG HERIYANSYAH ,MIGOR,984,12152400
297,4/14/2020,TOKO ABANG HERIYANSYAH ,TEPUNG,160,1280000
298,4/14/2020,TOKO KOTABARU,BERAS,1500,14734500
299,4/14/2020,TOKO KOTABARU,DAGING,100,7000000
300,4/14/2020,KARUNIA,BERAS,800,7858400
301,4/14/2020,KARUNIA,DAGING,100,7000000
302,4/14/2020,TOKO KARYA BINJAI,BERAS,850,8349550
303,4/14/2020,TOKO KARYA BINJAI,DAGING,80,5600000
304,4/14/2020,TOKO REVAN,BERAS,950,9331850
305,4/14/2020,TOKO REVAN,DAGING,60,4200000
306,4/15/2020,TOKO KIAN KIONG ,BERAS,4150,43575000
307,4/15/2020,TOKO HERU SUSANTO ,BERAS,7000,73500000
308,4/15/2020,TOKO JUANTI ,BERAS,3400,35700000
309,4/16/2020,KOPERASI BRI MELAWI,BERAS,1250,12875000
310,4/16/2020,KOPERASI BRI MELAWI,MIGOR,250,3087500
311,4/16/2020,TOKO ABIZAR,BERAS,400,4120000
312,4/16/2020,TOKO ABIZAR,BERAS,1100,10805300
313,4/16/2020,TOKO ABIZAR,DAGING,60,4200000
314,4/16/2020,ANDY,BERAS,350,3605000
315,4/16/2020,ANDY,BERAS,900,8840700
316,4/16/2020,ANDY,DAGING,60,4200000
317,4/20/2020,TOKO RIZKI SAKYAH,BERAS,700,7140000
318,4/20/2020,TOKO RIZKI SAKYAH,BERAS,800,7858400
319,4/20/2020,TOKO RIZKI SAKYAH,DAGING,140,9800000
320,4/20/2020,TOKO RIZKI SAKYAH,MIGOR,72,889200
321,4/20/2020,TOKO RIZKI SAKYAH,TEPUNG,120,960000
322,4/20/2020,TOKO YOGI,BERAS,800,8160000
323,4/20/2020,TOKO YOGI,BERAS,750,7367250
324,4/20/2020,TOKO YOGI,DAGING,160,11200000
325,4/20/2020,TOKO YOGI,MIGOR,74,913900
326,4/20/2020,TOKO YOGI,TEPUNG,330,2640000
327,4/20/2020,TOKO SUKA SUKA,BERAS,550,5610000
328,4/20/2020,TOKO SUKA SUKA,BERAS,250,2455750
329,4/20/2020,TOKO SUKA SUKA,DAGING,20,1400000
330,4/20/2020,TOKO SUKA SUKA,DAGING,80,5600000
331,4/20/2020,TOKO IRVA,BERAS,450,4590000
332,4/20/2020,TOKO IRVA,BERAS,200,1964600
333,4/20/2020,TOKO IRVA,DAGING,100,7000000
334,4/22/2020,TOKO SULASTRI AGUSTINI,DAGING,400,28000000
335,4/22/2020,TOKO KINORA,DAGING,100,7000000
336,4/24/2020,TOKO BOB-i,DAGING,200,14000000
337,4/24/2020,TOKO MAJU TERUS,DAGING,200,14000000
338,4/24/2020,Warung Nak Zihan,DAGING,200,14000000
339,4/24/2020,TOKO HIDAYAH,DAGING,200,14000000
340,4/24/2020,SAHABAT ANDA,DAGING,200,14000000
341,4/24/2020,TOKO SULASTRI AGUSTINI,DAGING,300,21000000
342,4/28/2020,TOKO DARKUM KOPERASI DISPERINDAG ,BERAS,120,1236000
343,4/28/2020,TOKO DARKUM KOPERASI DISPERINDAG ,BERAS,4,92000
344,4/28/2020,TOKO DARKUM KOPERASI DISPERINDAG ,DAGING,200,14000000
345,4/28/2020,TOKO DARKUM KOPERASI DISPERINDAG ,MIGOR,480,5928000
346,4/28/2020,TOKO DARKUM KOPERASI DISPERINDAG ,TEPUNG,240,1920000
347,4/28/2020,TOKO IFAL,DAGING,180,12600000
348,4/28/2020,TOKO BERKAH DUA PUTRA,DAGING,350,24500000
349,4/28/2020,TOKO BERKAH DUA PUTRA,MIGOR,420,5187000
350,4/28/2020,TOKO BERKAH DUA PUTRA,TEPUNG,60,480000
351,4/28/2020,TOKO EKA SAPUTRA JAYA ,DAGING,100,7000000
352,4/28/2020,TOKO EKA SAPUTRA JAYA ,MIGOR,900,11115000
353,4/28/2020,TOKO EKA SAPUTRA JAYA ,TEPUNG,450,3600000
354,4/28/2020,ANAPSA,DAGING,220,15400000
355,4/28/2020,MEKAR SARI,DAGING,300,21000000
356,4/28/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,380,4560000
357,4/28/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,152,3496000
358,4/28/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,4,92000
359,4/29/2020,Ummi,DAGING,170,11900000
360,4/29/2020,TOKO RAHMAD,DAGING,180,12600000
361,4/29/2020,TOKO TOPIN,DAGING,220,15400000
362,4/29/2020,TOKO DHEMA,DAGING,100,7000000
363,5/13/2020,TOKO ENGKON,BERAS,200000,2050000000
364,5/13/2020,TOKO NURDIAH ,MIGOR,240,2964000
365,5/13/2020,TOKO NURDIAH ,TEPUNG,80,640000
366,5/13/2020,TOKO MUHAMMAD JUMADI ,MIGOR,192,2371200
367,5/13/2020,TOKO MUHAMMAD JUMADI ,TEPUNG,60,480000
368,5/13/2020,TOKO DWIANA MARYATI ,MIGOR,180,2223000
369,5/13/2020,TOKO DWIANA MARYATI ,TEPUNG,60,480000
370,5/14/2020,TOKO SIMON SUMARDI ,MIGOR,300,3705000
371,5/14/2020,TOKO SIMON SUMARDI ,TEPUNG,100,800000
372,5/14/2020,TOKO JANUR SAPUTRA ,MIGOR,480,5928000
373,5/14/2020,TOKO JANUR SAPUTRA ,TEPUNG,100,800000
374,5/14/2020,TOKO MOMONG ALPINA ,MIGOR,412,5088200
375,5/14/2020,TOKO MOMONG ALPINA ,TEPUNG,100,800000
376,5/20/2020,TOKO BOB-i,BERAS,950,9785000
377,5/20/2020,TOKO BOB-i,BERAS,2300,23460000
378,5/20/2020,TOKO BUMDES USAHA JAYA BERSAMA,BERAS,850,8755000
379,5/20/2020,TOKO BUMDES USAHA JAYA BERSAMA,BERAS,2500,25500000
380,5/20/2020,TOKO BERKAT USAHA,BERAS,825,8497500
381,5/20/2020,TOKO BERKAT USAHA,BERAS,3000,30600000
382,5/20/2020,TOKO BU YULI,BERAS,925,9527500
383,5/20/2020,TOKO BU YULI,BERAS,2250,22950000
384,5/20/2020,TOKO SIDAK,BERAS,750,7725000
385,5/20/2020,TOKO SIDAK,BERAS,2400,24480000
386,5/20/2020,TOKO ANUGRAH,BERAS,700,7210000
387,5/20/2020,TOKO ANUGRAH,BERAS,2550,26010000
388,5/20/2020,TOKO RITA ROSANTI ,BERAS,7000,73500000
389,5/20/2020,TOKO SAMSUL HIDAYAT ,BERAS,7000,73500000
390,5/20/2020,TOKO DEWI AFRITA ,BERAS,6000,63000000
391,5/20/2020,TOKO AGUSTINUS ,BERAS,4500,47250000
392,5/20/2020,TOKO NURFADILAH ,BERAS,5500,57750000
393,6/4/2020,HOLIDAY MART,GULA,2500,30000000
394,6/4/2020,TOKO ANUGRAH,BERAS,900,8840700
395,6/4/2020,TOKO ANUGRAH,GULA,2500,30000000
396,6/4/2020,TOKO BERKAT USAHA,BERAS,1500,14734500
397,6/4/2020,TOKO BERKAT USAHA,GULA,8500,102000000
398,6/4/2020,TOKO SUPARNO (SMS),GULA,10000,120000000
399,6/4/2020,TOKO APO,GULA,10000,120000000
400,6/4/2020,TOKO SUYONO (BINTANG KAPUAS),GULA,8000,96000000
